locA	locB	share border	is international
Kita	SanPedro	0	1
Kita	Folon	0	1
Kita	Kabadougou	0	1
Kita	Cavally	0	1
Kita	Tonkpi	0	1
Kita	Bafing	0	1
Kita	Bomi	0	1
Kita	Bong	0	1
Kita	Gbarpolu	0	1
Kita	GrandCapeMount	0	1
Kita	GrandBassa	0	1
Kita	GrandGedeh	0	1
Kita	GrandKru	0	1
Kita	Lofa	0	1
Kita	Margibi	0	1
Kita	Maryland	0	1
Kita	Montserrado	0	1
Kita	Nimba	0	1
Kita	RiverCess	0	1
Kita	RiverGee	0	1
Kita	Sinoe	0	1
Kita	Boffa	0	1
Kita	Boke	0	1
Kita	Fria	0	1
Kita	Gaoual	0	1
Kita	Koundara	0	1
Kita	Conakry	0	1
Kita	Dabola	0	1
Kita	Dinguiraye	1	1
Kita	Faranah	0	1
Kita	Kissidougou	0	1
Kita	Kerouane	0	1
Kita	Kankan	0	1
Kita	Kouroussa	0	1
Kita	Mandiana	0	1
Kita	Siguiri	1	1
Kita	Coyah	0	1
Kita	Dubreka	0	1
Kita	Forecariah	0	1
Kita	Kindia	0	1
Kita	Telimele	0	1
Kita	Koubia	0	1
Kita	Lelouma	0	1
Kita	Labe	0	1
Kita	Mali	0	1
Kita	Tougue	0	1
Kita	Dalaba	0	1
Kita	Mamou	0	1
Kita	Pita	0	1
Kita	Beyla	0	1
Kita	Gueckedou	0	1
Kita	Lola	0	1
Kita	Macenta	0	1
Kita	Nzerekore	0	1
Kita	Yamou	0	1
Kita	Kailahun	0	1
Kita	Kenema	0	1
Kita	Kono	0	1
Kita	Bombali	0	1
Kita	Kambia	0	1
Kita	Koinadugu	0	1
Kita	PortLoko	0	1
Kita	Tonkolili	0	1
Kita	Bo	0	1
Kita	Bonthe	0	1
Kita	Moyamba	0	1
Kita	Pujehun	0	1
Kita	WesternRural	0	1
Kita	WesternUrban	0	1
Kita	Gabu	0	1
Kita	Tombali	0	1
Kangaba	Kati	1	0
Kangaba	Yanfolila	1	0
Kangaba	SanPedro	0	1
Kangaba	Folon	0	1
Kangaba	Kabadougou	0	1
Kangaba	Cavally	0	1
Kangaba	Tonkpi	0	1
Kangaba	Bafing	0	1
Kangaba	Bomi	0	1
Kangaba	Bong	0	1
Kangaba	Gbarpolu	0	1
Kangaba	GrandCapeMount	0	1
Kangaba	GrandBassa	0	1
Kangaba	GrandGedeh	0	1
Kangaba	GrandKru	0	1
Kangaba	Lofa	0	1
Kangaba	Margibi	0	1
Kangaba	Maryland	0	1
Kangaba	Montserrado	0	1
Kangaba	Nimba	0	1
Kangaba	RiverCess	0	1
Kangaba	RiverGee	0	1
Kangaba	Sinoe	0	1
Kangaba	Boffa	0	1
Kangaba	Boke	0	1
Kangaba	Fria	0	1
Kangaba	Gaoual	0	1
Kangaba	Koundara	0	1
Kangaba	Conakry	0	1
Kangaba	Dabola	0	1
Kangaba	Dinguiraye	0	1
Kangaba	Faranah	0	1
Kangaba	Kissidougou	0	1
Kangaba	Kerouane	0	1
Kangaba	Kankan	0	1
Kangaba	Kouroussa	0	1
Kangaba	Mandiana	1	1
Kangaba	Siguiri	1	1
Kangaba	Coyah	0	1
Kangaba	Dubreka	0	1
Kangaba	Forecariah	0	1
Kangaba	Kindia	0	1
Kangaba	Telimele	0	1
Kangaba	Koubia	0	1
Kangaba	Lelouma	0	1
Kangaba	Labe	0	1
Kangaba	Mali	0	1
Kangaba	Tougue	0	1
Kangaba	Dalaba	0	1
Kangaba	Mamou	0	1
Kangaba	Pita	0	1
Kangaba	Beyla	0	1
Kangaba	Gueckedou	0	1
Kangaba	Lola	0	1
Kangaba	Macenta	0	1
Kangaba	Nzerekore	0	1
Kangaba	Yamou	0	1
Kangaba	Kailahun	0	1
Kangaba	Kenema	0	1
Kangaba	Kono	0	1
Kangaba	Bombali	0	1
Kangaba	Kambia	0	1
Kangaba	Koinadugu	0	1
Kangaba	PortLoko	0	1
Kangaba	Tonkolili	0	1
Kangaba	Bo	0	1
Kangaba	Bonthe	0	1
Kangaba	Moyamba	0	1
Kangaba	Pujehun	0	1
Kangaba	WesternRural	0	1
Kangaba	WesternUrban	0	1
Kangaba	Gabu	0	1
Kangaba	Tombali	0	1
Kati	Yanfolila	1	0
Kati	SanPedro	0	1
Kati	Folon	0	1
Kati	Kabadougou	0	1
Kati	Cavally	0	1
Kati	Tonkpi	0	1
Kati	Bafing	0	1
Kati	Bomi	0	1
Kati	Bong	0	1
Kati	Gbarpolu	0	1
Kati	GrandCapeMount	0	1
Kati	GrandBassa	0	1
Kati	GrandGedeh	0	1
Kati	GrandKru	0	1
Kati	Lofa	0	1
Kati	Margibi	0	1
Kati	Maryland	0	1
Kati	Montserrado	0	1
Kati	Nimba	0	1
Kati	RiverCess	0	1
Kati	RiverGee	0	1
Kati	Sinoe	0	1
Kati	Boffa	0	1
Kati	Boke	0	1
Kati	Fria	0	1
Kati	Gaoual	0	1
Kati	Koundara	0	1
Kati	Conakry	0	1
Kati	Dabola	0	1
Kati	Dinguiraye	0	1
Kati	Faranah	0	1
Kati	Kissidougou	0	1
Kati	Kerouane	0	1
Kati	Kankan	0	1
Kati	Kouroussa	0	1
Kati	Mandiana	0	1
Kati	Siguiri	1	1
Kati	Coyah	0	1
Kati	Dubreka	0	1
Kati	Forecariah	0	1
Kati	Kindia	0	1
Kati	Telimele	0	1
Kati	Koubia	0	1
Kati	Lelouma	0	1
Kati	Labe	0	1
Kati	Mali	0	1
Kati	Tougue	0	1
Kati	Dalaba	0	1
Kati	Mamou	0	1
Kati	Pita	0	1
Kati	Beyla	0	1
Kati	Gueckedou	0	1
Kati	Lola	0	1
Kati	Macenta	0	1
Kati	Nzerekore	0	1
Kati	Yamou	0	1
Kati	Kailahun	0	1
Kati	Kenema	0	1
Kati	Kono	0	1
Kati	Bombali	0	1
Kati	Kambia	0	1
Kati	Koinadugu	0	1
Kati	PortLoko	0	1
Kati	Tonkolili	0	1
Kati	Bo	0	1
Kati	Bonthe	0	1
Kati	Moyamba	0	1
Kati	Pujehun	0	1
Kati	WesternRural	0	1
Kati	WesternUrban	0	1
Kati	Gabu	0	1
Kati	Tombali	0	1
Yanfolila	SanPedro	0	1
Yanfolila	Folon	1	1
Yanfolila	Kabadougou	0	1
Yanfolila	Cavally	0	1
Yanfolila	Tonkpi	0	1
Yanfolila	Bafing	0	1
Yanfolila	Bomi	0	1
Yanfolila	Bong	0	1
Yanfolila	Gbarpolu	0	1
Yanfolila	GrandCapeMount	0	1
Yanfolila	GrandBassa	0	1
Yanfolila	GrandGedeh	0	1
Yanfolila	GrandKru	0	1
Yanfolila	Lofa	0	1
Yanfolila	Margibi	0	1
Yanfolila	Maryland	0	1
Yanfolila	Montserrado	0	1
Yanfolila	Nimba	0	1
Yanfolila	RiverCess	0	1
Yanfolila	RiverGee	0	1
Yanfolila	Sinoe	0	1
Yanfolila	Boffa	0	1
Yanfolila	Boke	0	1
Yanfolila	Fria	0	1
Yanfolila	Gaoual	0	1
Yanfolila	Koundara	0	1
Yanfolila	Conakry	0	1
Yanfolila	Dabola	0	1
Yanfolila	Dinguiraye	0	1
Yanfolila	Faranah	0	1
Yanfolila	Kissidougou	0	1
Yanfolila	Kerouane	0	1
Yanfolila	Kankan	0	1
Yanfolila	Kouroussa	0	1
Yanfolila	Mandiana	1	1
Yanfolila	Siguiri	0	1
Yanfolila	Coyah	0	1
Yanfolila	Dubreka	0	1
Yanfolila	Forecariah	0	1
Yanfolila	Kindia	0	1
Yanfolila	Telimele	0	1
Yanfolila	Koubia	0	1
Yanfolila	Lelouma	0	1
Yanfolila	Labe	0	1
Yanfolila	Mali	0	1
Yanfolila	Tougue	0	1
Yanfolila	Dalaba	0	1
Yanfolila	Mamou	0	1
Yanfolila	Pita	0	1
Yanfolila	Beyla	0	1
Yanfolila	Gueckedou	0	1
Yanfolila	Lola	0	1
Yanfolila	Macenta	0	1
Yanfolila	Nzerekore	0	1
Yanfolila	Yamou	0	1
Yanfolila	Kailahun	0	1
Yanfolila	Kenema	0	1
Yanfolila	Kono	0	1
Yanfolila	Bombali	0	1
Yanfolila	Kambia	0	1
Yanfolila	Koinadugu	0	1
Yanfolila	PortLoko	0	1
Yanfolila	Tonkolili	0	1
Yanfolila	Bo	0	1
Yanfolila	Bonthe	0	1
Yanfolila	Moyamba	0	1
Yanfolila	Pujehun	0	1
Yanfolila	WesternRural	0	1
Yanfolila	WesternUrban	0	1
Yanfolila	Gabu	0	1
Yanfolila	Tombali	0	1
SanPedro	Folon	0	0
SanPedro	Kabadougou	0	0
SanPedro	Cavally	1	0
SanPedro	Tonkpi	0	0
SanPedro	Bafing	0	0
SanPedro	Bomi	0	1
SanPedro	Bong	0	1
SanPedro	Gbarpolu	0	1
SanPedro	GrandCapeMount	0	1
SanPedro	GrandBassa	0	1
SanPedro	GrandGedeh	1	1
SanPedro	GrandKru	0	1
SanPedro	Lofa	0	1
SanPedro	Margibi	0	1
SanPedro	Maryland	1	1
